"s","a","y"
"개구장이","산울림","1979년 베스트 가요 콜렉션"
"거치른 들판에 푸르른 솔잎처럼","양희은","1979년 베스트 가요 콜렉션"
"구름과 나","E.G.B","1979년 베스트 가요 콜렉션"
"그 사람","희자매","1979년 베스트 가요 콜렉션"
"그 아이","윤정하","1979년 베스트 가요 콜렉션"
"그대로 그렇게","휘버스 (열기들)","1979년 베스트 가요 콜렉션"
"그림자","서유석","1979년 베스트 가요 콜렉션"
"기도","홍삼트리오","1979년 베스트 가요 콜렉션"
"꿈을 꾼 후에","여진","1979년 베스트 가요 콜렉션"
"나들이","이광조","1979년 베스트 가요 콜렉션"
"내곁에 있어주","장은숙","1979년 베스트 가요 콜렉션"
"노래하며 춤추며","계은숙","1979년 베스트 가요 콜렉션"
"누구라도 그러하듯이","배인숙","1979년 베스트 가요 콜렉션"
"누구의 노래일까","민해경","1979년 베스트 가요 콜렉션"
"돌고 돌아가는 길","노사연","1979년 베스트 가요 콜렉션"
"마음 약해서","들고양이들","1979년 베스트 가요 콜렉션"
"맴도는 얼굴","따로 또 같이","1979년 베스트 가요 콜렉션"
"모모","김만준","1979년 베스트 가요 콜렉션"
"못 잊어","패티김","1979년 베스트 가요 콜렉션"
"미소","서유석","1979년 베스트 가요 콜렉션"
"뱃사공","이미배","1979년 베스트 가요 콜렉션"
"봄","이정선","1979년 베스트 가요 콜렉션"
"봄비","이은하","1979년 베스트 가요 콜렉션"
"빈의자","장재남","1979년 베스트 가요 콜렉션"
"사랑이란?","조영남","1979년 베스트 가요 콜렉션"
"새벽비","혜은이","1979년 베스트 가요 콜렉션"
"세상 모르고 살았노라 ('78 TBC 제1회 해변가요제 입상곡)","송골매","1979년 베스트 가요 콜렉션"
"소녀와 가로등","장덕","1979년 베스트 가요 콜렉션"
"손","선우혜경","1979년 베스트 가요 콜렉션"
"순아","최헌","1979년 베스트 가요 콜렉션"
"詩人(시인)의 마을","정태춘","1979년 베스트 가요 콜렉션"
"아리송해","이은하","1979년 베스트 가요 콜렉션"
"여러분","윤복희","1979년 베스트 가요 콜렉션"
"여름","징검다리","1979년 베스트 가요 콜렉션"
"연","라이너스","1979년 베스트 가요 콜렉션"
"연안부두","김트리오","1979년 베스트 가요 콜렉션"
"열애","윤시내","1979년 베스트 가요 콜렉션"
"영일만 친구","최백호","1979년 베스트 가요 콜렉션"
"이 거리를 생각하세요","장은아","1979년 베스트 가요 콜렉션"
"이빠진 동그라미","활주로","1979년 베스트 가요 콜렉션"
"입영 전야","최백호","1979년 베스트 가요 콜렉션"
"잊지는 못할거야","정윤선","1979년 베스트 가요 콜렉션"
"잊혀지지 않아요","한경애","1979년 베스트 가요 콜렉션"
"장미","사월과 오월","1979년 베스트 가요 콜렉션"
"젊은 연인들 (풍선) (With 이광조, 엄인호)","이정선","1979년 베스트 가요 콜렉션"
"제3한강교","혜은이","1979년 베스트 가요 콜렉션"
"제비","조영남","1979년 베스트 가요 콜렉션"
"창밖의 여자","조용필","1979년 베스트 가요 콜렉션"
"추억","윤수일","1979년 베스트 가요 콜렉션"
"타국에 계신 아빠에게","현숙","1979년 베스트 가요 콜렉션"
"탈춤 ('78 대학가요제 입상곡)","활주로","1979년 베스트 가요 콜렉션"
"하얀 민들레","진미령","1979년 베스트 가요 콜렉션"
"한동안 뜸했었지","사랑과 평화","1979년 베스트 가요 콜렉션"
"한오백년","조용필","1979년 베스트 가요 콜렉션"
"회상","박은옥","1979년 베스트 가요 콜렉션"
"당신은 누구시길래","심수봉","1979년 베스트 가요 콜렉션"
"아니 벌써","산울림","1978년 베스트 가요 콜렉션"
"가시리","이명우","1978년 베스트 가요 콜렉션"
"갈대","윤수일","1978년 베스트 가요 콜렉션"
"감수광","혜은이","1978년 베스트 가요 콜렉션"
"겨울 장미","이은하","1978년 베스트 가요 콜렉션"
"고귀한 선물","장은아","1978년 베스트 가요 콜렉션"
"곡예사의 첫사랑","박경애","1978년 베스트 가요 콜렉션"
"구름 나그네","최헌","1978년 베스트 가요 콜렉션"
"그때 그자리","문주란","1978년 베스트 가요 콜렉션"
"그쟈","최백호","1978년 베스트 가요 콜렉션"
"나그네","윤항기","1978년 베스트 가요 콜렉션"
"나성에 가면","권성희","1978년 베스트 가요 콜렉션"
"난 정말 몰랐었네","최병걸","1978년 베스트 가요 콜렉션"
"날 잊지 말아요","유심초","1978년 베스트 가요 콜렉션"
"내 마음에 주단을 깔고","산울림","1978년 베스트 가요 콜렉션"
"눈물로 쓴 편지","김세화","1978년 베스트 가요 콜렉션"
"돌려줄수 없나요","조경수","1978년 베스트 가요 콜렉션"
"다락방","논두렁 밭두렁","1978년 베스트 가요 콜렉션"
"망부석","김태곤","1978년 베스트 가요 콜렉션"
"머무는곳 그 어딜지 몰라도","박경희","1978년 베스트 가요 콜렉션"
"먼 훗날","김미성","1978년 베스트 가요 콜렉션"
"모정","이미자","1978년 베스트 가요 콜렉션"
"밀려오는 파도소리에","썰물","1978년 베스트 가요 콜렉션"
"밤차","이은하","1978년 베스트 가요 콜렉션"
"봄비","박인수","1978년 베스트 가요 콜렉션"
"사랑이야","송창식","1978년 베스트 가요 콜렉션"
"서울야곡","전영","1978년 베스트 가요 콜렉션"
"송학사","김태곤","1978년 베스트 가요 콜렉션"
"순이 생각","물레방아","1978년 베스트 가요 콜렉션"
"실버들","희자매","1978년 베스트 가요 콜렉션"
"아기곰","권태수","1978년 베스트 가요 콜렉션"
"아리아리 아라리요","김태곤","1978년 베스트 가요 콜렉션"
"아쉬움","김미성","1978년 베스트 가요 콜렉션"
"알게될거야","남궁옥분","1978년 베스트 가요 콜렉션"
"앵두","최헌","1978년 베스트 가요 콜렉션"
"어찌합니까","최헌","1978년 베스트 가요 콜렉션"
"얼룩 고무신","둘 다섯","1978년 베스트 가요 콜렉션"
"영원히 당신만을","혜은이","1978년 베스트 가요 콜렉션"
"이별의 고속도로","나훈아","1978년 베스트 가요 콜렉션"
"작은 연인들 (With 권태수)","김세화","1978년 베스트 가요 콜렉션"
"전우가 남긴 한마디","허성희","1978년 베스트 가요 콜렉션"
"젊은 태양","심수봉","1978년 베스트 가요 콜렉션"
"촛불","정태춘","1978년 베스트 가요 콜렉션"
"춤을 추어요","장은숙","1978년 베스트 가요 콜렉션"
"토함산","송창식","1978년 베스트 가요 콜렉션"
"햇빛 쏟아지는 들판","장계현","1978년 베스트 가요 콜렉션"
"행복","이수만","1978년 베스트 가요 콜렉션"
"환상","윤세원","1978년 베스트 가요 콜렉션"
"어떤날 둘이는","홍수철","1978년 베스트 가요 콜렉션"
"그대 있는 곳까지","쌍투스(Sanctus)","1978년 베스트 가요 콜렉션"
"사랑만은 않겠어요","윤수일","1977년 베스트 가요 콜렉션"
"가는 세월","서유석","1977년 베스트 가요 콜렉션"
"구름, 들꽃, 돌, 연인","해바라기(이광조 & 이정선 & 한영애 & 김영미)","1977년 베스트 가요 콜렉션"
"그냥 갈 수 없잖아","바니걸스(토끼소녀)","1977년 베스트 가요 콜렉션"
"꽃순이를 아시나요","김국환","1977년 베스트 가요 콜렉션"
"나 어떡해","샌드 페블즈(Sand Pebbless)","1977년 베스트 가요 콜렉션"
"나비 소녀","김세화","1977년 베스트 가요 콜렉션"
"나의 20년","장계현","1977년 베스트 가요 콜렉션"
"나의 사람아","김민식","1977년 베스트 가요 콜렉션"
"내 노래에 날개가 있다면","김세화","1977년 베스트 가요 콜렉션"
"내마음 갈곳을 잃어","최백호","1977년 베스트 가요 콜렉션"
"내 고향 충청도","조영남","1977년 베스트 가요 콜렉션"
"너무 어리다구요","윤석화","1977년 베스트 가요 콜렉션"
"네 꿈을 펼쳐라","양희은","1977년 베스트 가요 콜렉션"
"눈으로","권태수","1977년 베스트 가요 콜렉션"
"당신만을 사랑해","혜은이","1977년 베스트 가요 콜렉션"
"두 손을 잡아요","옥희","1977년 베스트 가요 콜렉션"
"들길 따라서","양희은","1977년 베스트 가요 콜렉션"
"뛰뛰빵빵","혜은이","1977년 베스트 가요 콜렉션"
"목마른 소녀","정윤희","1977년 베스트 가요 콜렉션"
"목화밭","하사와 병장","1977년 베스트 가요 콜렉션"
"미워도 다시한번","남진","1977년 베스트 가요 콜렉션"
"방랑자","박인희","1977년 베스트 가요 콜렉션"
"별이 빛나는 밤에","윤복희","1977년 베스트 가요 콜렉션"
"산사람","이정선","1977년 베스트 가요 콜렉션"
"섬마을 선생님","이미자","1977년 베스트 가요 콜렉션"
"세월","최헌","1977년 베스트 가요 콜렉션"
"아니야","조경수","1977년 베스트 가요 콜렉션"
"소녀와 가로등","진미령","1977년 베스트 가요 콜렉션"
"애정이 꽃피던 시절","나훈아","1977년 베스트 가요 콜렉션"
"어떻게 말할까","장미화","1977년 베스트 가요 콜렉션"
"영아","김만수","1977년 베스트 가요 콜렉션"
"오! 진아","박일준","1977년 베스트 가요 콜렉션"
"우정","나훈아","1977년 베스트 가요 콜렉션"
"이웃사촌","옥희","1977년 베스트 가요 콜렉션"
"잘있거라 공항이여","문주란","1977년 베스트 가요 콜렉션"
"젊은 연인들 (With 민경식)","정연택","1977년 베스트 가요 콜렉션"
"정","조용필","1977년 베스트 가요 콜렉션"
"제비처럼","윤승희","1977년 베스트 가요 콜렉션"
"진아의 꿈","김만수","1977년 베스트 가요 콜렉션"
"진짜 진짜 좋아해","혜은이","1977년 베스트 가요 콜렉션"
"찬비","윤정하","1977년 베스트 가요 콜렉션"
"타국에서","이미자","1977년 베스트 가요 콜렉션"
"파도","이수만","1977년 베스트 가요 콜렉션"
"푸른시절","김만수","1977년 베스트 가요 콜렉션"
"하늘","박선희","1977년 베스트 가요 콜렉션"
"호수에 잠긴달","세부엉","1977년 베스트 가요 콜렉션"
"황소 걸음","서유석","1977년 베스트 가요 콜렉션"
"흰구름 먹구름","딕 훼밀리(Dick Family)","1977년 베스트 가요 콜렉션"
"임이 오시네","박상규","1977년 베스트 가요 콜렉션"
"당신은 모르실거야","혜은이","1976년 베스트 가요 콜렉션"
"계곡의 무지개","김홍철","1976년 베스트 가요 콜렉션"
"고목나무","장욱조","1976년 베스트 가요 콜렉션"
"그 누가 모르나","이영식","1976년 베스트 가요 콜렉션"
"그 소녀","권태수","1976년 베스트 가요 콜렉션"
"그날이 오면","전영록","1976년 베스트 가요 콜렉션"
"그대 있음에","송창식","1976년 베스트 가요 콜렉션"
"그리운 사람은","이필원","1976년 베스트 가요 콜렉션"
"끝이 없는 길","박인희","1976년 베스트 가요 콜렉션"
"너무합니다","김수희","1976년 베스트 가요 콜렉션"
"눈으로","권태수","1976년 베스트 가요 콜렉션"
"님이여","조용필","1976년 베스트 가요 콜렉션"
"사랑은 영원히 (두마음)","산이슬","1976년 베스트 가요 콜렉션"
"둘이 걸었네","정종숙","1976년 베스트 가요 콜렉션"
"둘이서","박상규","1976년 베스트 가요 콜렉션"
"또 만나요","딕 훼밀리(Dick Family)","1976년 베스트 가요 콜렉션"
"뛰어","최백호","1976년 베스트 가요 콜렉션"
"막차로 떠난 여인","하남석","1976년 베스트 가요 콜렉션"
"먼 훗날","둘 다섯","1976년 베스트 가요 콜렉션"
"물레방아 인생","조영남","1976년 베스트 가요 콜렉션"
"뭉게구름","해바라기","1976년 베스트 가요 콜렉션"
"비에 젖은 비둘기","이승연","1976년 베스트 가요 콜렉션"
"빗물","채은옥","1976년 베스트 가요 콜렉션"
"빗속을 둘이서","오승근","1976년 베스트 가요 콜렉션"
"사랑한다 말해주세요","유심초","1976년 베스트 가요 콜렉션"
"새끼 손가락","정종숙","1976년 베스트 가요 콜렉션"
"석별","홍민","1976년 베스트 가요 콜렉션"
"섬소년","이정선","1976년 베스트 가요 콜렉션"
"슬픈 노래는 싫어요","김세환","1976년 베스트 가요 콜렉션"
"슬픈 노래는 싫어요","유승엽","1976년 베스트 가요 콜렉션"
"아내에게 바치는 노래","하수영","1976년 베스트 가요 콜렉션"
"아직도 그대는 내사랑","이은하","1976년 베스트 가요 콜렉션"
"애심","전영록","1976년 베스트 가요 콜렉션"
"어머님","남진","1976년 베스트 가요 콜렉션"
"얼굴","양희은","1976년 베스트 가요 콜렉션"
"연락선","조미미","1976년 베스트 가요 콜렉션"
"오동잎","최헌","1976년 베스트 가요 콜렉션"
"우수","남진","1976년 베스트 가요 콜렉션"
"이상해","송창식","1976년 베스트 가요 콜렉션"
"이슬비","송창식","1976년 베스트 가요 콜렉션"
"잊게해 주오","장계현","1976년 베스트 가요 콜렉션"
"작별","딕 훼밀리(Dick Family)","1976년 베스트 가요 콜렉션"
"추억","이필원","1976년 베스트 가요 콜렉션"
"친구야","윤복희","1976년 베스트 가요 콜렉션"
"친구야~ 친구","박상규","1976년 베스트 가요 콜렉션"
"터질거예요","김씨네","1976년 베스트 가요 콜렉션"
"푸른 교실","김인순","1976년 베스트 가요 콜렉션"
"한송이 꿈","이수만","1976년 베스트 가요 콜렉션"
"해뜰 날","송대관","1976년 베스트 가요 콜렉션"
"홀로 핀 꽃","하남석","1976년 베스트 가요 콜렉션"
"고래사냥","송창식","1975년 베스트 가요 콜렉션"
"가을편지","최양숙","1975년 베스트 가요 콜렉션"
"과수원길","서수남과 하청일","1975년 베스트 가요 콜렉션"
"긴머리 소녀","둘 다섯","1975년 베스트 가요 콜렉션"
"나그네","김정호","1975년 베스트 가요 콜렉션"
"나는 못난이","딕 훼밀리(Dick Family)","1975년 베스트 가요 콜렉션"
"나는 어떡하라고","윤항기","1975년 베스트 가요 콜렉션"
"나에게 애인이 있다면","남진","1975년 베스트 가요 콜렉션"
"난생 처음","하춘화","1975년 베스트 가요 콜렉션"
"날이 갈수록","송창식","1975년 베스트 가요 콜렉션"
"내 사랑 찾아","이동원","1975년 베스트 가요 콜렉션"
"너","이종용","1975년 베스트 가요 콜렉션"
"너와 나","남진","1975년 베스트 가요 콜렉션"
"눈으로만 말해요","옥희","1975년 베스트 가요 콜렉션"
"눈이 큰 아이","김만수","1975년 베스트 가요 콜렉션"
"돌아올 수 있다면","바니걸스(토끼소녀)","1975년 베스트 가요 콜렉션"
"돌아와요 부산항에","조용필","1975년 베스트 가요 콜렉션"
"등불","사월과 오월","1975년 베스트 가요 콜렉션"
"떠나간 님","버들피리","1975년 베스트 가요 콜렉션"
"마음은 서러워도","박일남","1975년 베스트 가요 콜렉션"
"맨처음 고백","송창식","1975년 베스트 가요 콜렉션"
"모든것 끝난뒤","이수만","1975년 베스트 가요 콜렉션"
"바보","윤형주","1975년 베스트 가요 콜렉션"
"밤 배","둘 다섯","1975년 베스트 가요 콜렉션"
"부모","이연실","1975년 베스트 가요 콜렉션"
"비 개인 오후","박인희","1975년 베스트 가요 콜렉션"
"사랑하는 마음","김세환","1975년 베스트 가요 콜렉션"
"세월","최헌","1975년 베스트 가요 콜렉션"
"아름다운 사람","현경과 영애","1975년 베스트 가요 콜렉션"
"안 오실까봐","이미자","1975년 베스트 가요 콜렉션"
"어제 내린 비","윤형주","1975년 베스트 가요 콜렉션"
"얼굴","윤연선","1975년 베스트 가요 콜렉션"
"여고 졸업반","김인순","1975년 베스트 가요 콜렉션"
"영상","논두렁 밭두렁","1975년 베스트 가요 콜렉션"
"왜 불러","송창식","1975년 베스트 가요 콜렉션"
"이거야 정말","윤복희","1975년 베스트 가요 콜렉션"
"일기","둘 다섯","1975년 베스트 가요 콜렉션"
"잊으리","이승연","1975년 베스트 가요 콜렉션"
"장미빛 스카프","윤항기","1975년 베스트 가요 콜렉션"
"정말로 너무해","서수남과 하청일","1975년 베스트 가요 콜렉션"
"조약돌","박상규","1975년 베스트 가요 콜렉션"
"찬비","하수영","1975년 베스트 가요 콜렉션"
"최진사댁 셋째 딸","조영남","1975년 베스트 가요 콜렉션"
"푸른 하늘 아래로","김정호","1975년 베스트 가요 콜렉션"
"하얀 나비","김정호","1975년 베스트 가요 콜렉션"
"하얀 조가비","박인희","1975년 베스트 가요 콜렉션"
"한 사람","양희은","1975년 베스트 가요 콜렉션"
"화가 났을까","김세환","1975년 베스트 가요 콜렉션"
"휘파람을 부세요","정미조","1975년 베스트 가요 콜렉션"
"편지","어니언스(Onions)","1974년 베스트 가요 콜렉션"
"가난한 마음","양희은","1974년 베스트 가요 콜렉션"
"고아","오세은","1974년 베스트 가요 콜렉션"
"고향초","홍민","1974년 베스트 가요 콜렉션"
"그 사람 데려다 주오","바니걸스(토끼소녀)","1974년 베스트 가요 콜렉션"
"그리운 건 너","데블스(Devils)","1974년 베스트 가요 콜렉션"
"그리움 찾아","어니언스(Onions)","1974년 베스트 가요 콜렉션"
"그리워라","현경과 영애","1974년 베스트 가요 콜렉션"
"길가에 앉아서","김세환","1974년 베스트 가요 콜렉션"
"꽃보다 귀한 여인","송창식","1974년 베스트 가요 콜렉션"
"나 그대에게 모두 드리리","이장희","1974년 베스트 가요 콜렉션"
"나는 몰라요","옥희","1974년 베스트 가요 콜렉션"
"나는 열아홉살이예요","윤시내","1974년 베스트 가요 콜렉션"
"내노래에 날개가 있다면","윤지영","1974년 베스트 가요 콜렉션"
"내 님의 사랑은","양희은","1974년 베스트 가요 콜렉션"
"내곁에 있어주","이수미","1974년 베스트 가요 콜렉션"
"노래하는 곳에","윤항기","1974년 베스트 가요 콜렉션"
"눈이 내리네","이숙","1974년 베스트 가요 콜렉션"
"당신은 몰라","최헌","1974년 베스트 가요 콜렉션"
"당신의 모든 것을","원 플러스 원(One Plus One)","1974년 베스트 가요 콜렉션"
"마음이 고와야지","남진","1974년 베스트 가요 콜렉션"
"목마와 숙녀","박인희","1974년 베스트 가요 콜렉션"
"무인도","김추자","1974년 베스트 가요 콜렉션"
"물 좀 주소!","한대수","1974년 베스트 가요 콜렉션"
"미인 (1974년작) (신중현과 엽전들)","신중현","1974년 베스트 가요 콜렉션"
"바람에 실려","하남석","1974년 베스트 가요 콜렉션"
"백구","양희은","1974년 베스트 가요 콜렉션"
"봄이 오는 길","박인희","1974년 베스트 가요 콜렉션"
"불 꺼진 창","조영남","1974년 베스트 가요 콜렉션"
"비","김세환","1974년 베스트 가요 콜렉션"
"연포아가씨","하춘화","1974년 베스트 가요 콜렉션"
"왜 그랬을까","쿨 시스터즈","1974년 베스트 가요 콜렉션"
"이건 너무 하잖아요","김정미","1974년 베스트 가요 콜렉션"
"이름 모를 소녀","김정호","1974년 베스트 가요 콜렉션"
"인어이야기","허림","1974년 베스트 가요 콜렉션"
"잃어버린 장미","이성애","1974년 베스트 가요 콜렉션"
"잊게해주오","템페스트","1974년 베스트 가요 콜렉션"
"작은 배","양희은","1974년 베스트 가요 콜렉션"
"작은 새","김정호","1974년 베스트 가요 콜렉션"
"저 별과 달은","어니언스(Onions)","1974년 베스트 가요 콜렉션"
"정든섬","이미자","1974년 베스트 가요 콜렉션"
"조용한 여자","이연실","1974년 베스트 가요 콜렉션"
"좋은 걸 어떡해","김세환","1974년 베스트 가요 콜렉션"
"참 예쁘네요","현경과 영애","1974년 베스트 가요 콜렉션"
"철지난 바닷가","송창식","1974년 베스트 가요 콜렉션"
"피리 부는 사나이","송창식","1974년 베스트 가요 콜렉션"
"한번쯤","송창식","1974년 베스트 가요 콜렉션"
"[19금]				한 잔의 추억","이장희","1974년 베스트 가요 콜렉션"
"행복의 나라로","한대수","1974년 베스트 가요 콜렉션"
"그건 너","이장희","1973년 베스트 가요 콜렉션"
"강원도 아리랑","하춘화","1973년 베스트 가요 콜렉션"
"개구리 노총각","바니걸스(토끼소녀)","1973년 베스트 가요 콜렉션"
"고별","홍민","1973년 베스트 가요 콜렉션"
"공항대합실","문주란","1973년 베스트 가요 콜렉션"
"그대여 변치마오","남진","1973년 베스트 가요 콜렉션"
"그럴수가 있나요","김추자","1973년 베스트 가요 콜렉션"
"그리움","김세환","1973년 베스트 가요 콜렉션"
"기다리는 마음","이성애","1973년 베스트 가요 콜렉션"
"나는 너를","서유석","1973년 베스트 가요 콜렉션"
"내 강산 좋을시구","김세레나","1973년 베스트 가요 콜렉션"
"달과 함께 별과 함께","김부자","1973년 베스트 가요 콜렉션"
"당신이 있으니까","문주란","1973년 베스트 가요 콜렉션"
"돌아와","박우철","1973년 베스트 가요 콜렉션"
"등대지기","은희","1973년 베스트 가요 콜렉션"
"마른잎","장현 [성인가요]","1973년 베스트 가요 콜렉션"
"물레방아 도는데","나훈아","1973년 베스트 가요 콜렉션"
"바다의 여인","사월과 오월","1973년 베스트 가요 콜렉션"
"별이 빛나는 밤에","윤항기","1973년 베스트 가요 콜렉션"
"봄이오면 (Hello-A)","장미화","1973년 베스트 가요 콜렉션"
"사랑의 모닥불","이용복","1973년 베스트 가요 콜렉션"
"사랑의 의지","이수미","1973년 베스트 가요 콜렉션"
"사랑의 진실","어니언스(Onions)","1973년 베스트 가요 콜렉션"
"삼백리 한려수도","이미자","1973년 베스트 가요 콜렉션"
"서귀포를 아시나요","조미미","1973년 베스트 가요 콜렉션"
"서울의 모정","패티김","1973년 베스트 가요 콜렉션"
"석양","장현 [성인가요]","1973년 베스트 가요 콜렉션"
"세월이 약이겠지요","송대관","1973년 베스트 가요 콜렉션"
"소낙비","이연실","1973년 베스트 가요 콜렉션"
"수다쟁이","서수남과 하청일","1973년 베스트 가요 콜렉션"
"쌍뚜아마미","은희","1973년 베스트 가요 콜렉션"
"아름다운 강산","김정미","1973년 베스트 가요 콜렉션"
"아름다운 것들","양희은","1973년 베스트 가요 콜렉션"
"알고계세요","하춘화","1973년 베스트 가요 콜렉션"
"여고시절","라나에로스포(Lana. Et. Rospo)","1973년 베스트 가요 콜렉션"
"왜 아니올까","김추자","1973년 베스트 가요 콜렉션"
"우리들의 이야기","윤형주","1973년 베스트 가요 콜렉션"
"이루어질 수 없는 사랑","양희은","1973년 베스트 가요 콜렉션"
"잊게해 주오","장계현","1973년 베스트 가요 콜렉션"
"잊으라면 잊겠어요","이용복","1973년 베스트 가요 콜렉션"
"자정이 훨씬 넘었네","이장희","1973년 베스트 가요 콜렉션"
"자주색 가방","방주연","1973년 베스트 가요 콜렉션"
"작은새","이수영","1973년 베스트 가요 콜렉션"
"잘있어요","이현","1973년 베스트 가요 콜렉션"
"젊은 초원","남진","1973년 베스트 가요 콜렉션"
"토요일 밤에","김세환","1973년 베스트 가요 콜렉션"
"하늘","서유석","1973년 베스트 가요 콜렉션"
"행복의 나라로","양희은","1973년 베스트 가요 콜렉션"
"흙에 살리라","홍세민","1973년 베스트 가요 콜렉션"
"님과 함께","남진","1972년 베스트 가요 콜렉션"
"그리운 생각","정미조","1972년 베스트 가요 콜렉션"
"고독","이필원","1972년 베스트 가요 콜렉션"
"고향역","나훈아","1972년 베스트 가요 콜렉션"
"고향이 좋아","김상진","1972년 베스트 가요 콜렉션"
"공항의 이별","문주란","1972년 베스트 가요 콜렉션"
"그 얼굴에 햇살을","이용복","1972년 베스트 가요 콜렉션"
"그대 변치않는다면","방주연","1972년 베스트 가요 콜렉션"
"그대 없이는 못살아","패티김","1972년 베스트 가요 콜렉션"
"그 애와 나랑은","이장희","1972년 베스트 가요 콜렉션"
"길 잃은 사슴","김세환","1972년 베스트 가요 콜렉션"
"꽃 길","정훈희","1972년 베스트 가요 콜렉션"
"나의 노래","문정선","1972년 베스트 가요 콜렉션"
"낙엽따라 가버린 사랑","문주란","1972년 베스트 가요 콜렉션"
"내나라 내겨레","송창식","1972년 베스트 가요 콜렉션"
"녹슬은 기찻길","나훈아","1972년 베스트 가요 콜렉션"
"단골손님","조미미","1972년 베스트 가요 콜렉션"
"달맞이 꽃","이용복","1972년 베스트 가요 콜렉션"
"달무리","영 사운드(Young Sound)","1972년 베스트 가요 콜렉션"
"달타령","김부자","1972년 베스트 가요 콜렉션"
"두개의 작은별","윤형주","1972년 베스트 가요 콜렉션"
"등불","영 사운드(Young Sound)","1972년 베스트 가요 콜렉션"
"딩동댕 지난 여름","송창식","1972년 베스트 가요 콜렉션"
"머나먼 고향","나훈아","1972년 베스트 가요 콜렉션"
"모닥불","박인희","1972년 베스트 가요 콜렉션"
"모정의 세월","나훈아","1972년 베스트 가요 콜렉션"
"목장 길 따라","김세환","1972년 베스트 가요 콜렉션"
"목화아가씨","남진","1972년 베스트 가요 콜렉션"
"봄비","김추자","1972년 베스트 가요 콜렉션"
"빗속의 여인들","정훈희","1972년 베스트 가요 콜렉션"
"사랑은 장난이 아니랍니다","조미미","1972년 베스트 가요 콜렉션"
"산 까치야","최안순","1972년 베스트 가요 콜렉션"
"섬처녀","이미자","1972년 베스트 가요 콜렉션"
"세노야 세노야","양희은","1972년 베스트 가요 콜렉션"
"아랫마을 이쁜이","남진","1972년 베스트 가요 콜렉션"
"아침 이슬","김민기","1972년 베스트 가요 콜렉션"
"어떤 말씀","쉐그린","1972년 베스트 가요 콜렉션"
"언덕에 올라","투코리언스(Two Koreans)","1972년 베스트 가요 콜렉션"
"여고시절","이수미","1972년 베스트 가요 콜렉션"
"영암 아리랑","하춘화","1972년 베스트 가요 콜렉션"
"영원한 세실리아","최동길","1972년 베스트 가요 콜렉션"
"옛 생각","조영남","1972년 베스트 가요 콜렉션"
"이별","패티김","1972년 베스트 가요 콜렉션"
"잊어야 한다면","김정미","1972년 베스트 가요 콜렉션"
"진정 난 몰랐네","임희숙","1972년 베스트 가요 콜렉션"
"찔레꽃","이연실","1972년 베스트 가요 콜렉션"
"타박네","서유석","1972년 베스트 가요 콜렉션"
"하동포구 아가씨","하춘화","1972년 베스트 가요 콜렉션"
"해변의 여인","나훈아","1972년 베스트 가요 콜렉션"
"희야","박일남","1972년 베스트 가요 콜렉션"
"가지마오","나훈아","1971년 베스트 가요 콜렉션"
"1943년 3월 4일생","이용복","1971년 베스트 가요 콜렉션"
"가을편지","김민기","1971년 베스트 가요 콜렉션"
"거짓말이야","김추자","1971년 베스트 가요 콜렉션"
"고향 아줌마","김상진","1971년 베스트 가요 콜렉션"
"고향의 강","남상규","1971년 베스트 가요 콜렉션"
"그 사람 이름은 잊었지만","박건","1971년 베스트 가요 콜렉션"
"그리운 사람끼리","박인희","1971년 베스트 가요 콜렉션"
"금산 아가씨","김하정","1971년 베스트 가요 콜렉션"
"꽃동네 새동네","정훈희","1971년 베스트 가요 콜렉션"
"꽃반지 끼고","은희","1971년 베스트 가요 콜렉션"
"님 떠나갈 시간","키보이스(Key Boys)","1971년 베스트 가요 콜렉션"
"두고온 고향","이수미","1971년 베스트 가요 콜렉션"
"마음은 짚시","정훈희","1971년 베스트 가요 콜렉션"
"마음이 약해서","남진","1971년 베스트 가요 콜렉션"
"마지막 잎새","배호","1971년 베스트 가요 콜렉션"
"먼데서 오신 손님","조미미","1971년 베스트 가요 콜렉션"
"못잊을 당신","이미자","1971년 베스트 가요 콜렉션"
"물새 한 마리","하춘화","1971년 베스트 가요 콜렉션"
"바다가 육지라면","조미미","1971년 베스트 가요 콜렉션"
"별이 빛나는 밤의 부르스","문주란","1971년 베스트 가요 콜렉션"
"보리밭","문정선","1971년 베스트 가요 콜렉션"
"비야 비야","서유석","1971년 베스트 가요 콜렉션"
"비와 나","윤형주","1971년 베스트 가요 콜렉션"
"사랑의 교실","펄시스터즈(Pearl Sisters)","1971년 베스트 가요 콜렉션"
"사랑하다 싫어지면","김태희","1971년 베스트 가요 콜렉션"
"사랑해","라나에로스포(Lana. Et. Rospo)","1971년 베스트 가요 콜렉션"
"새색시 시집가네","이연실","1971년 베스트 가요 콜렉션"
"세월이 가면","박인희","1971년 베스트 가요 콜렉션"
"세월이 약이겠지요","송대관","1971년 베스트 가요 콜렉션"
"썸머 와인 (Summer Wine)","라나에로스포(Lana. Et. Rospo)","1971년 베스트 가요 콜렉션"
"아름다운 사람","서유석","1971년 베스트 가요 콜렉션"
"아침이슬","양희은","1971년 베스트 가요 콜렉션"
"애모의 노래","조영남","1971년 베스트 가요 콜렉션"
"영시의 이별","배호","1971년 베스트 가요 콜렉션"
