"","곡명","아티스트","장르","연도"
"487","고독한 연인","김수희","가요 / 트로트",1985
"488","가버린 추억","남화용","가요 / 트로트",1985
"489","아득히 먼곳","이승재","가요 / 트로트",1985
"490","사랑별곡","강승모","가요 / 트로트",1985
"491","무정 부르스","강승모","가요 / 트로트",1985
"492","강변연가","권진경","가요 / 전체",1985
"493","사랑과 진실","임채무","가요 / 트로트",1985
"494","민들레 홀씨되어","박미경","가요 / 트로트",1985
"495","새벽기차","다섯손가락","가요 / 발라드",1985
"496","숨겨진 노래","이동기","가요 / 트로트",1985
"497","아버지의 의자","정수라","가요 / 발라드",1985
"498","사랑의 눈동자","유익종","가요 / 블루스/포크",1985
"499","갈등","이선희","가요 / 발라드",1985
"500","미지의 세계","조용필","가요 / 락",1985
"501","유혹하지 말아요","나미","가요 / 댄스",1985
"502","금연","건아들","가요 / 락",1985
"503","나도야 간다","김수철","가요 / 락",1985
"504","젊은 그대","김수철","가요 / 락",1985
"505","잠들지 않는 시간","이용","가요 / 트로트",1985
"506","가까이 하기엔 너무 먼 당신","이광조","가요 / 트로트",1986
"507","난 아직 모르잖아요","이문세","가요 / 발라드",1986
"508","허공","조용필","가요 / 트로트",1986
"509","지난 이야기","김완선","가요 / 발라드",1986
"510","난 너에게","정수라","가요 / 발라드",1986
"511","나 그리고 별","높은음자리","가요 / 트로트",1986
"512","사랑은 이제 그만","민해경","가요 / 댄스",1986
"513","갈바람","이선희","가요 / 발라드",1986
"514","우린 너무 쉽게 헤어졌어요","최진희","가요 / 트로트",1986
"515","그대 우나봐","전영록","가요 / 트로트",1986
"516","새벽기차","다섯손가락","가요 / 발라드",1986
"517","바다에 누워","높은음자리","가요 / 트로트",1986
"518","사랑은 언제나 그자리에","해바라기","가요 / 블루스/포크",1986
"519","청량리 부루스","명혜원","가요 / 전체",1986
"520","남남","최성수","가요 / 발라드",1986
"521","재회","남궁옥분","가요 / 블루스/포크",1986
"522","그것만이 내세상","들국화","가요 / 락",1986
"523","사랑을 잃어버린 나","이광조","가요 / 트로트",1986
"524","그대는 미운사람","김범룡","가요 / 트로트",1986
"525","해야 해야","김학래","가요 / 트로트",1986
"526","세계로 가는 기차","들국화","가요 / 락",1986
"527","하얀 갈대","임병수","가요 / 발라드",1986
"528","촛불잔치","이재성","가요 / 트로트",1986
"529","울면서 후회하네","주현미","가요 / 트로트",1986
"530","제가 먼저 사랑할래요","강인원","가요 / 트로트",1986
"531","골목길","이재민","가요 / 트로트",1986
"532","내 잘못인가","강은철","가요 / 트로트",1986
"533","추억의 밤","이치현","가요 / 전체",1986
"534","사랑 그리고 이별","신계행","가요 / 블루스/포크",1986
"535","괜찮아","이선희","가요 / 발라드",1986
"536","이 어둠의 이 슬픔","도시의 그림자","가요 / 트로트",1986
"537","님","김정호","가요 / 트로트",1986
"538","내사랑 울보","전영록","가요 / 발라드",1986
"539","우리에겐","노사연","가요 / 발라드",1986
"540","젊음의 노트","유미리","가요 / 트로트",1986
"541","사랑해요","고은희 & 이정란","가요 / 트로트",1986
"542","그 순간","김범룡","가요 / 트로트",1986
"543","빛바랜 사랑","오선과 한음","가요 / 트로트",1986
"544","짱아야","강석호","가요 / 트로트",1986
"545","애고 도솔천아","정태춘 & 박은옥","가요 / 블루스/포크",1986
"546","소나기는 왜 내리나요","최헌","가요 / 트로트",1986
"547","사랑과 평화 (CCM 트랙)","유지연","CCM / 국내CCM",1986
"548","미소를 띄우며 나를 보낸 그 모습처럼","이은하","가요 / 트로트",1986
"549","황홀한 고백","윤수일","가요 / 트로트",1986
"550","별비","남인숙","가요 / 트로트",1986
"551","사랑 그 아름답고 소중한 얘기들","배철수","가요 / 락",1986
"552","비둘기에게","시인과 촌장","가요 / 블루스/포크",1986
"553","슬픈 인연","나미","가요 / 발라드",1986
"554","아이스크림 사랑","임병수","가요 / 트로트",1986
"555","아빠와 크레파스","배따라기","가요 / 발라드",1986
"556","사랑이 지나가면","이문세","가요 / 발라드",1987
"557","알고 싶어요","이선희","가요 / 발라드",1987
"558","꿈에","조덕배","가요 / 발라드",1987
"559","사랑하기에","이정석","가요 / 트로트",1987
"560","참새의 하루","송창식","가요 / 블루스/포크",1987
"561","사랑의 슬픔","이치현과 벗님들","가요 / 블루스/포크",1987
"562","그날","김연숙","가요 / 트로트",1987
"563","개똥벌레","신형원","가요 / 블루스/포크",1987
"564","슬픔 그뒤에 오는 고독","조덕배","가요 / 트로트",1987
"565","영","이선희","가요 / 발라드",1987
"566","풀잎사랑","최성수","가요 / 전체",1987
"567","고독한 DJ","이재성","가요 / 트로트",1987
"568","카페와 여인","김범룡","가요 / 발라드",1987
"569","애수","최성수","가요 / 트로트",1987
"570","그녀의 웃음소리뿐","이문세","가요 / 발라드",1987
"571","하늘이여","김학래","가요 / 트로트",1987
"572","지금 그대로의 모습으로","유열","가요 / 트로트",1987
"573","세월가면","이광조","가요 / 트로트",1987
"574","담배가게 아가씨","송창식","가요 / 블루스/포크",1987
"575","이별이야기","이문세","가요 / 발라드",1987
"576","사랑의 썰물","임지훈","가요 / 블루스/포크",1987
"577","새벽 아침","수와진","가요 / 발라드",1987
"578","부부","부부듀엣","가요 / 트로트",1987
"579","그저 바라볼수만 있어도","유익종","가요 / 트로트",1987
"580","너","해바라기","가요 / 블루스/포크",1987
"581","하얀밤에","전영록","가요 / 트로트",1987
"582","떠나지마","전원석","가요 / 발라드",1987
"583","사랑하기 때문에","유재하","가요 / 발라드",1987
"584","이제 자야하나 봐","전영록","가요 / 댄스",1987
"585","마도요","조용필","가요 / 전체",1987
"586","어른이 된 후에 사랑은 너무 어려워","현이와 덕이","가요 / 트로트",1987
"587","눈물의 부르스","주현미","가요 / 트로트",1987
"588","첫눈이 온다구요","이정석","가요 / 트로트",1987
"589","천방지축","문희옥","가요 / 트로트",1987
"590","이제는","서울패밀리 (Seoul Family)","가요 / 발라드",1987
"591","아침 이슬","김민기","가요 / 발라드",1987
"592","빗속의 연가","김현식","가요 / 락",1987
"593","현아","김범룡","가요 / 트로트",1987
"594","잃어버린 계절","벗님들","가요 / 블루스/포크",1987
"595","새벽새","높은음자리","가요 / 트로트",1987
"596","그겨울의 찻집","조용필","가요 / 트로트",1987
"597","사랑할 순 없는지","다섯손가락","가요 / 락",1987
"598","내마음 별과 같이","현철","가요 / 트로트",1987
"599","소녀","이문세","가요 / 발라드",1987
"600","홀로된 사랑","여운","가요 / 트로트",1987
"601","외로운 밤은 싫어","높은음자리","가요 / 트로트",1987
"602","성숙","민해경","가요 / 발라드",1987
"603","어둠은 걷히고","이선희","가요 / 발라드",1987
"604","가 버린 당신","최진희","가요 / 트로트",1987
"605","상처","임희숙","가요 / 트로트",1987
"606","비처럼 음악처럼","김현식","가요 / 발라드",1988
"607","울고 싶어라","사랑과 평화","가요 / 락",1988
"608","바라볼 수 없는 그대","양수경","가요 / 트로트",1988
"609","거리에서","김광석","가요 / 블루스/포크",1988
"610","내 그리운 나라","임지훈","가요 / 블루스/포크",1988
"611","돌고,돌고,돌고","전인권","가요 / 락",1988
"612","이밤을 다시 한번","조하문","가요 / 발라드",1988
"613","저녁놀","전영록","가요 / 트로트",1988
"614","지난 날","유재하","가요 / 전체",1988
"615","그 이유가 내겐 아픔이었네","이지연","가요 / 트로트",1988
"616","사랑이 저만치 가네","김종찬","가요 / 트로트",1988
"617","신사동 그사람","주현미","가요 / 트로트",1988
"618","꼬마야","김창완","OST / 드라마",1988
"619","환희","정수라","가요 / 댄스",1988
"620","나 항상 그대를","이선희","가요 / 발라드",1988
"621","토요일은 밤이 좋아","김종찬","가요 / 트로트",1988
"622","묻어버린 아픔","김동환","가요 / 블루스/포크",1988
"623","안녕","산울림","가요 / 락",1988
"624","예기치 않은 바람","신형원","가요 / 블루스/포크",1988
"625","초연","김연숙","가요 / 트로트",1988
"626","그대는 인형처럼 웃고 있지만","민해경","가요 / 트로트",1988
"627","잊으라는","박춘삼","가요 / 블루스/포크",1988
"628","사랑이 지는 이자리","이선희","가요 / 전체",1988
"629","그대만을","이광조","가요 / 트로트",1988
"630","해후","최성수","가요 / 트로트",1988
"631","마지막 입맞춤","김범룡","가요 / 트로트",1988
"632","그대 발길이 머무는 곳에","조용필","가요 / 트로트",1988
"633","서울 서울 서울","조용필","가요 / 트로트",1988
"634","담다디","이상은","가요 / 전체",1988
"635","가시나무","시인과 촌장","가요 / 블루스/포크",1988
"636","물안개","석미경","가요 / 트로트",1988
"637","난 아직도 널 (대상)","작품하나","가요 / 블루스/포크",1988
"638","변해가네","동물원","가요 / 블루스/포크",1988
"639","사랑하는 우리","조하문","가요 / 발라드",1988
"640","홀로된 사랑","여운","가요 / 트로트",1988
"641","슬퍼지는 내모습","양홍섭","가요 / 트로트",1988
"642","굿바이","이문세","가요 / 발라드",1988
"643","그녀에게 전해주오","소방차","가요 / 댄스",1988
"644","사랑한 후에","전인권","가요 / 락",1988
"645","타인의 거리","도시의 그림자","가요 / 발라드",1988
"646","우리가 추억이라 말하는","정태춘 & 박은옥","가요 / 블루스/포크",1988
"647","홀로 된다는 것","변진섭","가요 / 발라드",1988
"648","그대없는 거리","신촌 블루스","가요 / 블루스/포크",1988
"649","쥴리엣","김승진","가요 / 블루스/포크",1988
"650","안개꽃을 든 여인","조덕배","가요 / 블루스/포크",1988
"651","슬픔만은 아니겠죠","해바라기","가요 / 블루스/포크",1988
"652","그대 모습은 장미","민해경","가요 / 트로트",1988
"653","너를 생각하면","이주엽","가요 / 전체",1988
"654","집시여인","이치현과 벗님들","가요 / 블루스/포크",1988
"655","시를 위한 시","이문세","가요 / 발라드",1988
"656","마지막 나의 모습","이승철","가요 / 발라드",1989
"657","추억속의 그대","황치훈","가요 / 발라드",1989
"658","나의 거리","이선희","가요 / 발라드",1989
"659","안녕이라고 말하지마","이승철","가요 / 발라드",1989
"660","이미 그댄","박학기","가요 / 발라드",1989
"661","바람에 옷깃이 날리듯","이상우","가요 / 전체",1989
"662","내 아픔 아시는 당신께","조하문","가요 / 발라드",1989
"663","너무 늦었잖아요","변진섭","가요 / 발라드",1989
"664","네게 줄 수 있는 건 오직 사랑뿐","변진섭","가요 / 발라드",1989
"665","짝사랑","주현미","가요 / 트로트",1989
"666","가로수 그늘아래 서면","이문세","가요 / 발라드",1989
"667","그대는","양수경","가요 / 트로트",1989
"668","안개 그림자","김범룡","가요 / 발라드",1989
"669","우리 앞의 생이 끝나갈때","무한궤도","가요 / 락",1989
"670","눈물나는 날에는","푸른하늘","가요 / 발라드",1989
"671","누나야","임지훈","가요 / 트로트",1989
"672","널 그리며","박남정","가요 / 전체",1989
